Date : 2024-04-29 23:52:56
Directory : g:\flutter_projects\e_learning
Total : 122 files,  3571 codes, 320 comments, 538 blanks, all 4429 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         60 |      1,948 |         52 |        253 |      2,253 |
| XML        |         26 |        601 |         53 |         25 |        679 |
| C++        |         16 |        539 |        127 |        188 |        854 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |         89 |          5 |         20 |        114 |
| Swift      |          6 |         52 |          7 |         20 |         79 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         35 |         60 |         11 |        106 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        122 |      3,571 |        320 |        538 |      4,429 |
| . (Files)                                                                                            |          3 |         45 |         60 |         18 |        123 |
| android                                                                                              |         12 |        162 |         56 |         31 |        249 |
| android (Files)                                                                                      |          3 |         41 |          0 |          9 |         50 |
| android\app                                                                                          |          8 |        116 |         56 |         21 |        193 |
| android\app (Files)                                                                                  |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                                      |          7 |         65 |         51 |          9 |        125 |
| android\app\src\debug                                                                                |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                 |          5 |         59 |         43 |          7 |        109 |
| android\app\src\main (Files)                                                                         |          1 |         33 |         11 |          1 |         45 |
| android\app\src\main\res                                                                             |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                              |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                               |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                               |         16 |        132 |          0 |         13 |        145 |
| assets\images                                                                                        |         16 |        132 |          0 |         13 |        145 |
| ios                                                                                                  |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                   |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                      |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                  |         59 |      1,934 |         42 |        246 |      2,222 |
| lib (Files)                                                                                          |          1 |         22 |          1 |          4 |         27 |
| lib\common                                                                                           |          9 |        600 |         39 |         76 |        715 |
| lib\common\routing                                                                                   |          1 |         80 |          1 |          3 |         84 |
| lib\common\utils                                                                                     |          3 |        146 |         38 |         43 |        227 |
| lib\common\widgets                                                                                   |          5 |        374 |          0 |         30 |        404 |
| lib\features                                                                                         |         49 |      1,312 |          2 |        166 |      1,480 |
| lib\features\auth                                                                                    |         27 |        563 |          0 |         90 |        653 |
| lib\features\auth\ui                                                                                 |         27 |        563 |          0 |         90 |        653 |
| lib\features\auth\ui\views                                                                           |          4 |        176 |          0 |         16 |        192 |
| lib\features\auth\ui\widgets                                                                         |         23 |        387 |          0 |         74 |        461 |
| lib\features\intro                                                                                   |          6 |        226 |          2 |         24 |        252 |
| lib\features\intro\data                                                                              |          1 |         26 |          0 |          4 |         30 |
| lib\features\intro\data\models                                                                       |          1 |         26 |          0 |          4 |         30 |
| lib\features\intro\ui                                                                                |          5 |        200 |          2 |         20 |        222 |
| lib\features\intro\ui\views                                                                          |          1 |         79 |          2 |          8 |         89 |
| lib\features\intro\ui\widgets                                                                        |          4 |        121 |          0 |         12 |        133 |
| lib\features\layout                                                                                  |         15 |        475 |          0 |         45 |        520 |
| lib\features\layout\home                                                                             |          4 |        138 |          0 |         12 |        150 |
| lib\features\layout\home\data                                                                        |          1 |         44 |          0 |          3 |         47 |
| lib\features\layout\home\data\models                                                                 |          1 |         44 |          0 |          3 |         47 |
| lib\features\layout\home\ui                                                                          |          3 |         94 |          0 |          9 |        103 |
| lib\features\layout\home\ui\views                                                                    |          2 |         32 |          0 |          7 |         39 |
| lib\features\layout\home\ui\widgets                                                                  |          1 |         62 |          0 |          2 |         64 |
| lib\features\layout\inbox                                                                            |          7 |        206 |          0 |         20 |        226 |
| lib\features\layout\inbox\ui                                                                         |          7 |        206 |          0 |         20 |        226 |
| lib\features\layout\inbox\ui\views                                                                   |          1 |         48 |          0 |          4 |         52 |
| lib\features\layout\inbox\ui\widgets                                                                 |          6 |        158 |          0 |         16 |        174 |
| lib\features\layout\profile                                                                          |          4 |        131 |          0 |         13 |        144 |
| lib\features\layout\profile\data                                                                     |          1 |         15 |          0 |          4 |         19 |
| lib\features\layout\profile\data\models                                                              |          1 |         15 |          0 |          4 |         19 |
| lib\features\layout\profile\ui                                                                       |          3 |        116 |          0 |          9 |        125 |
| lib\features\layout\profile\ui\views                                                                 |          1 |         47 |          0 |          4 |         51 |
| lib\features\layout\profile\ui\widgets                                                               |          2 |         69 |          0 |          5 |         74 |
| lib\features\splash                                                                                  |          1 |         48 |          0 |          7 |         55 |
| lib\features\splash\ui                                                                               |          1 |         48 |          0 |          7 |         55 |
| lib\features\splash\ui\views                                                                         |          1 |         48 |          0 |          7 |         55 |
| linux                                                                                                |          5 |        102 |         33 |         44 |        179 |
| linux (Files)                                                                                        |          3 |         94 |         24 |         33 |        151 |
| linux\flutter                                                                                        |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                                |          6 |        444 |          5 |         16 |        465 |
| macos\Flutter                                                                                        |          1 |          6 |          3 |          4 |         13 |
| macos\Runner                                                                                         |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                 |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                    |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                         |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                      |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                              |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                 |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                  |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                              |         10 |        436 |         94 |        143 |        673 |
| windows\flutter                                                                                      |          2 |          8 |          9 |         11 |         28 |
| windows\runner                                                                                       |          8 |        428 |         85 |        132 |        645 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                             | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| g:\flutter_projects\e_learning\README.md                                                             | Markdown   |         10 |          0 |          7 |         17 |
| g:\flutter_projects\e_learning\analysis_options.yaml                                                 | YAML       |          3 |         22 |          4 |         29 |
| g:\flutter_projects\e_learning\android\app\build.gradle                                              | Gradle     |         51 |          5 |         12 |         68 |
| g:\flutter_projects\e_learning\android\app\src\debug\AndroidManifest.xml                             | XML        |          3 |          4 |          1 |          8 |
| g:\flutter_projects\e_learning\android\app\src\main\AndroidManifest.xml                              | XML        |         33 |         11 |          1 |         45 |
| g:\flutter_projects\e_learning\android\app\src\main\res\drawable-v21\launch_background.xml           | XML        |          4 |          7 |          2 |         13 |
| g:\flutter_projects\e_learning\android\app\src\main\res\drawable\launch_background.xml               | XML        |          4 |          7 |          2 |         13 |
| g:\flutter_projects\e_learning\android\app\src\main\res\values-night\styles.xml                      | XML        |          9 |          9 |          1 |         19 |
| g:\flutter_projects\e_learning\android\app\src\main\res\values\styles.xml                            | XML        |          9 |          9 |          1 |         19 |
| g:\flutter_projects\e_learning\android\app\src\profile\AndroidManifest.xml                           | XML        |          3 |          4 |          1 |          8 |
| g:\flutter_projects\e_learning\android\build.gradle                                                  | Gradle     |         16 |          0 |          3 |         19 |
| g:\flutter_projects\e_learning\android\gradle.properties                                             | Properties |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\android\gradle\wrapper\gradle-wrapper.properties                      | Properties |          5 |          0 |          1 |          6 |
| g:\flutter_projects\e_learning\android\settings.gradle                                               | Gradle     |         22 |          0 |          5 |         27 |
| g:\flutter_projects\e_learning\assets\images\Learning-bro.svg                                        | XML        |          1 |          0 |          0 |          1 |
| g:\flutter_projects\e_learning\assets\images\Onlinelearning-amico.svg                                | XML        |          1 |          0 |          0 |          1 |
| g:\flutter_projects\e_learning\assets\images\Webinar-rafiki.svg                                      | XML        |          1 |          0 |          1 |          2 |
| g:\flutter_projects\e_learning\assets\images\certificate.svg                                         | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\check.svg                                               | XML        |         19 |          0 |          1 |         20 |
| g:\flutter_projects\e_learning\assets\images\edit.svg                                                | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\facebook_logo.svg                                       | XML        |          4 |          0 |          1 |          5 |
| g:\flutter_projects\e_learning\assets\images\google_logo.svg                                         | XML        |          7 |          0 |          1 |          8 |
| g:\flutter_projects\e_learning\assets\images\help.svg                                                | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\like.svg                                                | XML        |         31 |          0 |          1 |         32 |
| g:\flutter_projects\e_learning\assets\images\logo.svg                                                | XML        |         32 |          0 |          1 |         33 |
