"filename", "language", "C++", "Dart", "JSON", "Markdown", "Swift", "HTML", "YAML", "XML", "Properties", "Gradle", "comment", "blank", "total"
"g:\flutter_projects\e_learning\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"g:\flutter_projects\e_learning\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 22, 4, 29
"g:\flutter_projects\e_learning\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 12, 68
"g:\flutter_projects\e_learning\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"g:\flutter_projects\e_learning\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 11, 1, 47
"g:\flutter_projects\e_learning\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"g:\flutter_projects\e_learning\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"g:\flutter_projects\e_learning\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"g:\flutter_projects\e_learning\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"g:\flutter_projects\e_learning\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"g:\flutter_projects\e_learning\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"g:\flutter_projects\e_learning\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"g:\flutter_projects\e_learning\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"g:\flutter_projects\e_learning\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"g:\flutter_projects\e_learning\assets\images\Learning-bro.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\flutter_projects\e_learning\assets\images\Maestro.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"g:\flutter_projects\e_learning\assets\images\Mastercard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"g:\flutter_projects\e_learning\assets\images\Onlinelearning-amico.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\flutter_projects\e_learning\assets\images\PayPal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
